Coffee Roasteries,Location,State,Link,Workshops,Who's in charge,Site,Updated on,Workshop
Mika Coffee,Ara Damansara,,https://take.app/mikacoffeeroaster,,Nobody,Out,,
Coffee Stain,Bangsar,,https://coffeestain.beepit.com/ordering/?type=delivery,,Pauline,Out,,
Hani Coffee,Bangsar,,https://shopee.com.my/hanicoffeeroastery,,Pauline,Shopee,,
Kopenhagen Coffee Kapas,Bangsar,,https://www.kopenhagencoffee.com/collections/coffee,,Cat,Independent,27/05/2026,
Pulp,Bangsar,,https://www.pulpcoffee.co/coffee-products,,Pauline,Independent,27/05/2026,
Thunderbean,Bayan Lepas,Penang,https://www.thunderbean.life/,,Pauline,Independent,27/05/2026,
Aksara Gayo,Cheras,,https://shopee.com.my/aksaragayo,,Pauline,Shopee,,
Arkib Rasmi,Cheras,,https://arkibkopi.my/collections/all,,Pauline,Independent,27/05/2026,
Ghostbird,Cheras,,https://ghostbirdcoffee.co/collections,,Carol,Independent,27/05/2026,
Bean Specialty,Damansara,KL,https://beamspecialty.com/product-category/roasted-coffee-bean/,,Pauline,Independent,27/05/2026,Yes
2f Coffee Roastery,Bayan Lepas,,https://www.2fcoffeeroastery.com/collections/coffee-bean-1,https://docs.google.com/forms/d/e/1FAIpQLSc3vOMyvfou3d3pHDrtfTUIjEPuT38eO9alJZzlPSgKnzPGzw/viewform,Pauline,Independent,27/05/2026,
Omni Coffee Riaster ,Ipoh,,https://shopee.com.my/iris1015,,Pauline,Shopee,,
Blank Coffee Roaster,Ipoh,,https://blankcoffeeroaster.com/,,,Independent,27/05/2026,
Astep Coffee,JB,,https://shopee.com.my/astepcoffee.official,,,Shopee,,
Dateless Coffee Roaster,JB,Johor,https://datelesscoffee.com/,,Pauline,Independent,27/05/2026,
JWC Roastery,JB,,https://shopee.com.my/jwc.roastery,,,Shopee,,
Theus Micro,JB,,https://theusmicro.com/,,,Independent,27/05/2026,
Lekker Coffee Roasters,JB,,https://lekkercoffeeroasters.myshopify.com/,,,Independent,27/05/2026,
Cofa Store,JB,,https://cofastore.com.my/shop/,,Pauline,Independent,27/05/2026,
Sweet Blossom Coffee Roasters,JB,,https://www.sweetblossomcoffee.com/shop-wholebeans,,,Independent,27/05/2026,
Vamos Coffee Roastery,JB,,https://shopee.com.my/vamoscoffee,,,Shopee,,
Brewsmith Coffee Roasters,JB,,https://brewsmithcoffee.com/collections/all,,,Independent,27/05/2026,
103 Coffee,KL,,https://www.103coffee.com/shop,,Pauline,Independent,27/05/2026,
Afloat Coffee Roaster,KL,,https://shopee.com.my/afloatcoffeeroastermy,,Pauline,Shopee,,
Bean Brothers,KL,,https://beanbrothers.my/collections/all-coffee,,Nobody,Independent,27/05/2026,
Brew & Bread,KL,,https://brewnbread.com/product-category/whole-bean/,,Pauline,Independent,27/05/2026,
Coffee Hub,KL,,https://shopee.com.my/coffe.ehub,,,Shopee,,
Common Man Coffee Roaster,KL,,https://www.commonmancoffeeroasters.com.my/,,Nobody,Independent,tbc,
Cup O Joe,KL,,https://shopee.com.my/cupojoecoffee,,,Shopee,,
Feeka Coffee Roaster,KL,,,,Nobody,None,,
Kafein Roastery,KL,,https://shopee.com.my/kafein_roastery?entryPoint=ShopBySearch&searchKeyword=kaffei%20roastery,,Pauline,Shopee,,
Mama Typica,KL,,https://mamatypica.com/,,,Independent,tbc,
Nogita Coffee,KL,,https://shopee.com.my/nogitacoffee?entryPoint=ShopByPDP,,,Shopee,,
Playground Coffeery,KL,,,,Nobody,None,,
The Hub Coffee Roaster,KL,,https://thehuboug.com/,,Cat,Independent,tbc,
The Kaffei Roastery,KL,,https://shopee.com.my/thekaffei_roastery#product_list,,Pauline,Shopee,,
VCR,KL,,https://shopee.com.my/vcrlovesyou,,Pauline,Shopee,,
Wolf and Turtle Coffee,KL,,https://wolfandturtlecoffee.com/,,,Independent,tbc,
Decrypt Coffee,Kota Kinabalu,Sabah,https://decryptcoffee.com/,,Pauline,Independent,tbc,
Tukang Kopi,Kuala Terengganu,Terengganu,https://shopee.com.my/tukangkopiroastery,,,Shopee,,
Port Coffee Roastery,Kuala Terengganu,Terengganu,https://www.portcoffeeroastery.com/,,,Independent,tbc,
Project 703,Melaka,,https://petakopi.my/project-703-roastery-cafe/ https://www.instagram.com/project_703/?hl=en,,Nobody,None,,
Tyler Coffee,NO,,https://www.instagram.com/tyler_coffeeworkshop/?hl=en,,Nobody,None,,Yes
Ditto Coffee,NO,,"https://ditto.coffee/ (import coffee: tanat, bluebird)",,Nobody,None,,
Beam Coffee Roastery,Online,,https://shopee.com.my/beamspecialty,,Pauline,Shopee,,
Black by ACC,Online,,https://shopee.com.my/blackbyacc,,,Shopee,,
Boutique Premium Coffee,Online,,https://shopee.com.my/boutique.premium.coffee,,,Shopee,,
Brown Dots Coffee Roastery,Online,,https://shopee.com.my/browndotscoffeeroastery,,,Shopee,,
Discover Coffee Roasting,Online,,https://shopee.com.my/discovercoffee,,,Shopee,,
Douyuan Coffee,Online,,https://shopee.com.my/douyuan,,Pauline,Shopee,,
Hisbrew Roastery,Online,,https://shopee.com.my/hisbrewroastery,,Pauline,Shopee,,
Kopianjis7d,Online,,https://shopee.com.my/kopianjis7d.my,,,Shopee,,
Liten Coffee,Online,,https://litencoffee.com/,,Pauline,Independent,tbc,
Roasted Rocks Coffee,Online,,https://shopee.com.my/roastedrocks,,,Shopee,,
Seafarer Coffee,Online,,https://shopee.com.my/seafarer.coffee?entryPoint=cart,,,Shopee,,
Sozofeine,Online,,https://shopee.com.my/sozofeine_coffee03,,,Shopee,,
Tatih Roast Works,Online,,https://tatihroastworks.easy.co/collections/all,,Pauline,Independent,27/05/2026,
Shiro Coffee Roastery,Online,,https://www.shirocoffeeroastery.com/,,,Got issue,,
Charlie's Factory,Bayan Lepas,,https://shopee.com.my/charlies.factory,,Pauline,Shopee,,
