SKU,brands,name,description,taste_notes,taste_notes_category,price_200g,image_url,varietal,altitude,processing method,roast level,roasted for,origin,blend,link
001,Eight Ounce Coffee,Colombia Granja El Paraiso 92 P-07,,"Peach, Berry, Grape, Butterscotch, Winey","Fruity, Sweet, Sour/Fermented",RM 120,"https://static.wixstatic.com/media/bc0cb9_1c53ab409b01408a896f471b412c68d2~mv2.jpeg/v1/crop/x_398,y_0,w_3204,h_5000/fill/w_239,h_403,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/brew%20bean_columbia.jpeg",,,Yeast Anaerobic,Medium Light,Filter,Colombia,No,https://wa.me/60376228782
002,2F Coffee Roastery,Colombia Granja El Paraiso 92 Yeast Anaerobic,"A light-roasted yeast-anaerobic Red Bourbon from Colombia's Granja El Paraiso 92, grown at 1,800-1,950 masl.","Guava, Red Grape, Purple Floral, Sweet Fruit Candy","Fruity, Floral, Sweet",RM 120,https://cdn.store-assets.com/s/390997/i/91589231.png,Red Bourbon,1800-1950 masl,Yeast Anaerobic,Light,Both,Colombia,No,https://www.2fcoffeeroastery.com/collections/coffee-bean-1/products/colombia-granja-el-paraiso-92-yeast-anaerobic
003,Yello Coffee Solution,Colombia Granja El Paraiso 92 Yeast Anaerobic,,"Guava, Red Grape, Purple Floral, Sweet Fruit Candy","Floral, Fruity, Sweet",RM 120,https://cdn.store-assets.com/s/746806/i/99339786.png,Red Bourbon,1800 - 1950 masl,"ed with the Yeast Anaerobic method and grown at 1800–1950 masl , this light roast highlights the vibrant character of Red Bourbon. The cup bursts with guava, red grape, purple florals, and sweet fruit candy , offering a clean yet playful expression of Colombian terroir. (100g)",Light,Both,Colombia,No,https://www.yellocoffeesolution.com/products/-colombia-granja-el-paraiso-92-yeast-anaerobic
004,Decrypt Coffee,Colombia Huila El Silencio Red Pink Bourbon,"Region : Palestina, Huila, Colombia Producer : María Rodríguez, El Silencio Red Process : Washed (dual-phase fermentation) Altitude : 1, 700 – 2, 200 masl Taste Note : Cherry, red grape, molasses","Cherry, red grape, molasses","Fruity, Sweet",RM 65,https://cdn.shopify.com/s/files/1/0833/5831/8785/files/Copyof_New_Productimage_9.png?v=1759159905,Pink Bourbon,"1, 700 – 2, 200 masl",Washed (dual-phase fermentation),Medium Light,Both,Colombia,No,https://decryptcoffee.com/products/colombia-huila-el-silencio-red-pink-bourbon
005,The Crackpots,Colombia Huila La Provencia Java Anaerobic Natural,"Tasting Note: Black Forest Cake, Mango, Mikan, Pineapple Brewing Recommendation: Filter Brews, Modern Espresso","Black Forest Cake, Mango, Mikan, Pineapple",Fruity,RM 92,https://cdn.shopify.com/s/files/1/0510/5831/1346/files/CHLPJAN-26-01_cover.png?v=1778476681,Java,,Anaerobic Natural,Unknown,Both,Colombia,No,https://thecrackpots.com/products/colombia-huila-la-provencia-java-anaerobic-natural
006,The Crackpots,Colombia Huila Las Delicias Papayo Natural,"Tasting Note: Floral, Muscat Grape, Orange, Honey Brewing Recommendation: Filter Brews, Modern Espresso This is a natural-process Colombia from Las Delicias farm in Huila, grown at 1, 750 metres from the rare Papayo variety — and it drinks floral and bright, with Muscat grape, orange and a honeyed sweetness running through the cup","Floral, Muscat Grape, Orange, Honey","Fruity, Floral, Sweet",RM 91,https://cdn.shopify.com/s/files/1/0510/5831/1346/files/CHLDPN-26-01_cover.png?v=1778476670,"and it drinks floral and bright, with Muscat grape, orange and a honeyed sweetness running through t",750 metres,Natural,Unknown,Both,Colombia,No,https://thecrackpots.com/products/colombia-huila-las-delicias-papayo-natural
007,The Crackpots,"Colombia Huila Monteblanco ""Carabao Mango"" Yeast Co-ferment","Tasting Note: Fruit Tea, Mango Juice, Maple Syrup Mango, cultured-yeast (Lactobacillus, S. cerevisiae) mother-culture co-ferment; ~180h sealed fermentation with mango solution, fully washed, then 20–25 days drying","Fruit Tea, Mango Juice, Maple Syrup","Fruity, Sweet",RM 88,https://cdn.shopify.com/s/files/1/0510/5831/1346/files/CHMCMYC-26-01_cover.png?v=1783305179,"Caturra, Bourbon",730 masl,Yeast Co-ferment,Unknown,Both,"Brazil, Colombia",Yes,https://thecrackpots.com/products/colombia-huila-monteblanco-carabao-mango-yeast-co-ferment
008,Cottle Coffee,Colombia Huila Supremo,"A medium-roasted, fully washed Castillo coffee from Huila, Colombia, grown at 1,500-1,700 masl.","Blueberries, Nougat","Fruity, Sweet",RM 44,https://images.squarespace-cdn.com/content/v1/5ac6abbf3917ee592c577502/65892050-8054-4465-8d61-b91f089e251a/WhatsApp+Image+2025-06-05+at+13.45.45+%281%29.jpeg?format=2500w,Castillo,1500-1700 masl,Fully Washed,Medium,Both,Colombia,No,https://www.cottlecoffee.com.my/coffeebeans/colombia-excelso-organic-yb547
009,Tatih Roastworks,COLOMBIA INZA WUCHI,"A fully washed Colombian coffee from smallholder farmers in Cauca, suitable for filter or espresso.","Orange, Raspberries, Milk Chocolate","Fruity, Nutty/Cocoa",RM 30,https://cdn.store-assets.com/s/1328774/i/98851882.png,,,Fully Washed,Medium,Both,Colombia,No,https://tatihroastworks.easy.co/products/colombia-supremo-fully-washed
010,FCR Coffee,1.0 Blend Signature 100% Arabica Coffee Blend,"A medium-roasted house blend of Brazil Mogiana Cerrado, Colombia Huila Supremo and Guatemala Huehuetenango for espresso or manual brewing.","Red Cherries, Crème Caramel, Cadbury Chocolate Finish","Fruity, Sweet, Nutty/Cocoa",RM 36,https://fcrcoffee.com/wp-content/uploads/2025/05/WhatsApp-Image-2026-05-29-at-2.42.44-PM.jpeg,,,,Medium,Both,"Brazil, Colombia, Guatemala",Yes,https://fcrcoffee.com/product/1-0-blend-signature-100-arabica-coffee-blend/
011,Arkib Kopi,11:00 CUCUK LANGIT,In Between Heaven & Earth,"Strawberry, Leather Fruits, Vanilla, Tablerone, Bubblegum","Fruity, Sweet",RM 68,https://cdn.shopify.com/s/files/1/2797/8666/files/CUCUK_LANGIT_-_00_720f7bc4-e14e-44f5-992b-a463d760e183.png?v=1781844150,Geisha,,natural,Light,Espresso,Peru,Yes,https://arkibkopi.my/products/11-00-cucuk-langit
