name,orig_location,state,klang_valley,kv_area,type,shop_link,site_status,gbp_prospect,gbp_place_id,gbp_url,address,postcode,google_rating,google_review_count,review_summary
Mika Coffee,Ara Damansara,Selangor,yes,Petaling Jaya,physical,https://take.app/mikacoffeeroaster,Out,likely - collect via Places API,,,,,,,
Coffee Stain,Bangsar,Kuala Lumpur,yes,Bangsar,physical,https://coffeestain.beepit.com/ordering/?type=delivery,Out,likely - collect via Places API,,,,,,,
Hani Coffee,Bangsar,Kuala Lumpur,yes,Bangsar,physical,https://shopee.com.my/hanicoffeeroastery,Shopee,unlikely (online storefront) - verify,,,,,,,
Kopenhagen Coffee Kapas,Bangsar,Kuala Lumpur,yes,Bangsar,physical,https://www.kopenhagencoffee.com/collections/coffee,Independent,likely - collect via Places API,,,,,,,
Pulp,Bangsar,Kuala Lumpur,yes,Bangsar,physical,https://www.pulpcoffee.co/coffee-products,Independent,likely - collect via Places API,,,,,,,
Thunderbean,Bayan Lepas,Penang,no,,physical,https://www.thunderbean.life/,Independent,likely - collect via Places API,,,,,,,
Aksara Gayo,Cheras,Kuala Lumpur,yes,Cheras,physical,https://shopee.com.my/aksaragayo,Shopee,unlikely (online storefront) - verify,,,,,,,
Arkib Rasmi,Cheras,Kuala Lumpur,yes,Cheras,physical,https://arkibkopi.my/collections/all,Independent,likely - collect via Places API,,,,,,,
Ghostbird,Cheras,Kuala Lumpur,yes,Cheras,physical,https://ghostbirdcoffee.co/collections,Independent,likely - collect via Places API,,,,,,,
Bean Specialty,Damansara,Kuala Lumpur,yes,Damansara,physical,https://beamspecialty.com/product-category/roasted-coffee-bean/,Independent,likely - collect via Places API,,,,,,,
2f Coffee Roastery,Bayan Lepas,Penang,no,,physical,https://www.2fcoffeeroastery.com/collections/coffee-bean-1,Independent,likely - collect via Places API,,,,,,,
Omni Coffee Riaster,Ipoh,Perak,no,,physical,https://shopee.com.my/iris1015,Shopee,unlikely (online storefront) - verify,,,,,,,
Blank Coffee Roaster,Ipoh,Perak,no,,physical,https://blankcoffeeroaster.com/,Independent,likely - collect via Places API,,,,,,,
Astep Coffee,JB,Johor,no,,physical,https://shopee.com.my/astepcoffee.official,Shopee,unlikely (online storefront) - verify,,,,,,,
Dateless Coffee Roaster,JB,Johor,no,,physical,https://datelesscoffee.com/,Independent,likely - collect via Places API,,,,,,,
JWC Roastery,JB,Johor,no,,physical,https://shopee.com.my/jwc.roastery,Shopee,unlikely (online storefront) - verify,,,,,,,
Theus Micro,JB,Johor,no,,physical,https://theusmicro.com/,Independent,likely - collect via Places API,,,,,,,
Lekker Coffee Roasters,JB,Johor,no,,physical,https://lekkercoffeeroasters.myshopify.com/,Independent,likely - collect via Places API,,,,,,,
Cofa Store,JB,Johor,no,,physical,https://cofastore.com.my/shop/,Independent,likely - collect via Places API,,,,,,,
Sweet Blossom Coffee Roasters,JB,Johor,no,,physical,https://www.sweetblossomcoffee.com/shop-wholebeans,Independent,likely - collect via Places API,,,,,,,
Vamos Coffee Roastery,JB,Johor,no,,physical,https://shopee.com.my/vamoscoffee,Shopee,unlikely (online storefront) - verify,,,,,,,
Brewsmith Coffee Roasters,JB,Johor,no,,physical,https://brewsmithcoffee.com/collections/all,Independent,likely - collect via Places API,,,,,,,
103 Coffee,KL,Kuala Lumpur,yes,KL City,physical,https://www.103coffee.com/shop,Independent,likely - collect via Places API,,,,,,,
Afloat Coffee Roaster,KL,Kuala Lumpur,yes,KL City,physical,https://shopee.com.my/afloatcoffeeroastermy,Shopee,unlikely (online storefront) - verify,,,,,,,
Bean Brothers,KL,Kuala Lumpur,yes,KL City,physical,https://beanbrothers.my/collections/all-coffee,Independent,likely - collect via Places API,,,,,,,
Brew & Bread,KL,Kuala Lumpur,yes,KL City,physical,https://brewnbread.com/product-category/whole-bean/,Independent,likely - collect via Places API,,,,,,,
Coffee Hub,KL,Kuala Lumpur,yes,KL City,physical,https://shopee.com.my/coffe.ehub,Shopee,unlikely (online storefront) - verify,,,,,,,
Common Man Coffee Roaster,KL,Kuala Lumpur,yes,KL City,physical,https://www.commonmancoffeeroasters.com.my/,Independent,likely - collect via Places API,,,,,,,
Cup O Joe,KL,Kuala Lumpur,yes,KL City,physical,https://shopee.com.my/cupojoecoffee,Shopee,unlikely (online storefront) - verify,,,,,,,
Feeka Coffee Roaster,KL,Kuala Lumpur,yes,KL City,physical,,None,unlikely (online storefront) - verify,,,,,,,
Kafein Roastery,KL,Kuala Lumpur,yes,KL City,physical,https://shopee.com.my/kafein_roastery?entryPoint=ShopBySearch&searchKeyword=kaffei%20roastery,Shopee,unlikely (online storefront) - verify,,,,,,,
Mama Typica,KL,Kuala Lumpur,yes,KL City,physical,https://mamatypica.com/,Independent,likely - collect via Places API,,,,,,,
Nogita Coffee,KL,Kuala Lumpur,yes,KL City,physical,https://shopee.com.my/nogitacoffee?entryPoint=ShopByPDP,Shopee,unlikely (online storefront) - verify,,,,,,,
Playground Coffeery,KL,Kuala Lumpur,yes,KL City,physical,,None,unlikely (online storefront) - verify,,,,,,,
The Hub Coffee Roaster,KL,Kuala Lumpur,yes,KL City,physical,https://thehuboug.com/,Independent,likely - collect via Places API,,,,,,,
The Kaffei Roastery,KL,Kuala Lumpur,yes,KL City,physical,https://shopee.com.my/thekaffei_roastery#product_list,Shopee,unlikely (online storefront) - verify,,,,,,,
VCR,KL,Kuala Lumpur,yes,KL City,physical,https://shopee.com.my/vcrlovesyou,Shopee,unlikely (online storefront) - verify,,,,,,,
Wolf and Turtle Coffee,KL,Kuala Lumpur,yes,KL City,physical,https://wolfandturtlecoffee.com/,Independent,likely - collect via Places API,,,,,,,
Decrypt Coffee,Kota Kinabalu,Sabah,no,,physical,https://decryptcoffee.com/,Independent,likely - collect via Places API,,,,,,,
Tukang Kopi,Kuala Terengganu,Terengganu,no,,physical,https://shopee.com.my/tukangkopiroastery,Shopee,unlikely (online storefront) - verify,,,,,,,
Port Coffee Roastery,Kuala Terengganu,Terengganu,no,,physical,https://www.portcoffeeroastery.com/,Independent,likely - collect via Places API,,,,,,,
Project 703,Melaka,Melaka,no,,physical,https://petakopi.my/project-703-roastery-cafe/ https://www.instagram.com/project_703/?hl=en,None,unlikely (online storefront) - verify,,,,,,,
Tyler Coffee,NO,,no,,online,https://www.instagram.com/tyler_coffeeworkshop/?hl=en,None,unlikely (online storefront) - verify,,,,,,,
Ditto Coffee,NO,,no,,online,"https://ditto.coffee/ (import coffee: tanat, bluebird)",None,unlikely (online storefront) - verify,,,,,,,
Beam Coffee Roastery,Online,,no,,online,https://shopee.com.my/beamspecialty,Shopee,unlikely (online storefront) - verify,,,,,,,
Black by ACC,Online,,no,,online,https://shopee.com.my/blackbyacc,Shopee,unlikely (online storefront) - verify,,,,,,,
Boutique Premium Coffee,Online,,no,,online,https://shopee.com.my/boutique.premium.coffee,Shopee,unlikely (online storefront) - verify,,,,,,,
Brown Dots Coffee Roastery,Online,,no,,online,https://shopee.com.my/browndotscoffeeroastery,Shopee,unlikely (online storefront) - verify,,,,,,,
Discover Coffee Roasting,Online,,no,,online,https://shopee.com.my/discovercoffee,Shopee,unlikely (online storefront) - verify,,,,,,,
Douyuan Coffee,Online,,no,,online,https://shopee.com.my/douyuan,Shopee,unlikely (online storefront) - verify,,,,,,,
Hisbrew Roastery,Online,,no,,online,https://shopee.com.my/hisbrewroastery,Shopee,unlikely (online storefront) - verify,,,,,,,
Kopianjis7d,Online,,no,,online,https://shopee.com.my/kopianjis7d.my,Shopee,unlikely (online storefront) - verify,,,,,,,
Liten Coffee,Online,,no,,online,https://litencoffee.com/,Independent,n/a (online-only),,,,,,,
Roasted Rocks Coffee,Online,,no,,online,https://shopee.com.my/roastedrocks,Shopee,unlikely (online storefront) - verify,,,,,,,
Seafarer Coffee,Online,,no,,online,https://shopee.com.my/seafarer.coffee?entryPoint=cart,Shopee,unlikely (online storefront) - verify,,,,,,,
Sozofeine,Online,,no,,online,https://shopee.com.my/sozofeine_coffee03,Shopee,unlikely (online storefront) - verify,,,,,,,
Tatih Roast Works,Online,,no,,online,https://tatihroastworks.easy.co/collections/all,Independent,n/a (online-only),,,,,,,
Shiro Coffee Roastery,Online,,no,,online,https://www.shirocoffeeroastery.com/,Got issue,n/a (online-only),,,,,,,
